meta_score,title,platform,date,user_score,link,esrb_rating,developers,genres
,Aura-Aura Climber,DS,22-Feb-10,6,/game/ds/aura-aura-climber,E,['Nintendo'],"['Action', 'General', 'General', 'Arcade']"
84,Spotto!,DS,15-Feb-10,5.8,/game/ds/spotto!,E,['Intelligent Systems'],"['Action', 'Adventure', 'General', 'General']"
73,Link 'n' Launch,DS,8-Feb-10,,/game/ds/link-n-launch,E,['Intelligent Systems'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Puzzle', 'General']"
,True Swing Golf Express,DS,1-Feb-10,,/game/ds/true-swing-golf-express,E,['T&E Soft'],"['Sports', 'Traditional', 'Golf', 'Sim', 'Sim']"
77,Number Battle,DS,25-Jan-10,6.6,/game/ds/number-battle,E,['Nintendo'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Puzzle', 'Logic', 'General']"
69,Glory of Heracles,DS,18-Jan-10,7.4,/game/ds/glory-of-heracles,E10+,['Paon Corporation'],"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Japanese-Style']"
82,Starship Defense,DS,18-Jan-10,7.5,/game/ds/starship-defense,E,['Q-Games'],"['Strategy', 'Real-Time', 'Sci-Fi', 'Sci-Fi', 'Defense']"
,Touch Solitaire,DS,11-Jan-10,,/game/ds/touch-solitaire,E,['Nintendo'],"['Miscellaneous', 'Board Games', 'Board Games']"
67,Phoenix Wright: Ace Attorney,WII,11-Jan-10,8.7,/game/wii/phoenix-wright-ace-attorney,T,['Capcom'],"['Adventure', 'First-Person', 'Visual Novel', 'Modern', 'Modern']"
77,Trajectile,DS,4-Jan-10,,/game/ds/trajectile,E,['Q-Games'],"['Action', 'General', 'General']"
,Master of Illusion Express: Psychic Camera,DS,28-Dec-09,,/game/ds/master-of-illusion-express-psychic-camera,E,['Nintendo'],"['Miscellaneous', 'General', 'General']"
,Pilotwings,WII,28-Dec-09,,/game/wii/pilotwings,E,['Nintendo'],"['Simulation', 'Flight', 'Civilian Plane']"
,Super Smash Bros.,WII,21-Dec-09,7.8,/game/wii/super-smash-bros,E,['HAL Labs'],"['Action', 'Fighting', '3D']"
56,Eco Shooter: Plant 530,WII,21-Dec-09,,/game/wii/eco-shooter-plant-530,E10+,['Intelligent Systems'],"['Action', 'Adventure', 'General', 'Shooter', 'First-Person', 'Fantasy', 'Arcade']"
,Master of Illusion Express: Matchmaker,DS,14-Dec-09,,/game/ds/master-of-illusion-express-matchmaker,E,['Nintendo'],"['Miscellaneous', 'General', 'General']"
87,The Legend of Zelda: Spirit Tracks,DS,7-Dec-09,7.9,/game/ds/the-legend-of-zelda-spirit-tracks,E10+,['Nintendo'],"['Action Adventure', 'Fantasy', 'Fantasy', 'Open-World']"
,Master of Illusion Express: Mind Probe,DS,30-Nov-09,,/game/ds/master-of-illusion-express-mind-probe,E,['Nintendo'],"['Miscellaneous', 'General', 'General']"
,Electroplankton: Lumiloop,DS,23-Nov-09,,/game/ds/electroplankton-lumiloop,E,['Nintendo'],"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
,Electroplankton: Sun-Animalcule,DS,23-Nov-09,,/game/ds/electroplankton-sun-animalcule,E,['Nintendo'],"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
,Electroplankton: Varvoice,DS,23-Nov-09,,/game/ds/electroplankton-varvoice,E,['Nintendo'],"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
,Electroplankton: Marine-Crystals,DS,23-Nov-09,,/game/ds/electroplankton-marine-crystals,E,['Nintendo'],"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
,Electroplankton: Luminarrow,DS,23-Nov-09,,/game/ds/electroplankton-luminarrow,E,['Nintendo'],"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
,Super Mario Kart,WII,23-Nov-09,7.4,/game/wii/super-mario-kart,E,['Nintendo'],"['Driving', 'Racing', 'Kart']"
